Tab. 102 Obce České republiky k 1. 1. 2019;;;;;;;;;;;;;;Souhrn
;;;;;;;;;;;;;;
"Kód
okresu";"Kód
SOORP";Název obce;"Kód
obce";Typ obce;"Správní obvod obce
s rozšířenou působností";"Počet
částí
obce";"Počet
katas-
trů";"Katastr.
výměra
v ha";Počet obyvatel;;;Počet dokončených bytů;;Stavební úřad
;;;;;;;;;celkem;"ve věku
0 - 14 let";"ve věku
65 a více let";2009-2013;2014-2018;
a;b;c;d;1;2;3;4;5;6;7;8;9;10;11
;;;;;;;;;;;;;;
CZ0100;x;PRAHA;554782;hlavní město;x;112;112;49 621;1 308 632;206 668;247 098;24 896;27 287;Praha
CZ0201;2101;Benešov;529303;město;Benešov;15;2;4 687;16 656;2 625;3 344;356;259;Benešov
CZ0201;2125;Bernartice;532568;obec;Vlašim;2;2;1 011;235;37;63;3;6;Vlašim
CZ0201;2125;Bílkovice;530743;obec;Vlašim;3;1;578;214;29;47;9;3;Divišov
CZ0201;2125;Blažejovice;532380;obec;Vlašim;2;2;463;116;15;35;0;1;Dolní Kralovice
CZ0201;2125;Borovnice;532096;obec;Vlašim;1;1;310;81;10;26;2;2;Čechtice
CZ0201;2101;Bukovany;532924;obec;Benešov;1;1;740;765;146;129;25;12;Týnec nad Sázavou
CZ0201;2101;Bystřice;529451;město;Benešov;26;10;6 336;4 422;734;796;108;98;Bystřice
CZ0201;2125;Ctiboř;532690;obec;Vlašim;2;1;392;144;33;22;4;8;Vlašim
CZ0201;2101;Čakov;529478;obec;Benešov;3;3;529;127;25;21;3;5;Benešov
CZ0201;2125;Čechtice;529486;městys;Vlašim;14;5;3 941;1 403;228;286;19;26;Čechtice
CZ0201;2101;Čerčany;529516;obec;Benešov;2;1;645;2 868;523;587;29;52;Čerčany
CZ0201;2126;Červený Újezd;529532;obec;Votice;6;2;1 259;349;74;72;5;6;Votice
CZ0201;2101;Český Šternberk;529541;městys;Benešov;1;1;547;164;29;38;6;2;Divišov
CZ0201;2101;Čtyřkoly;529567;obec;Benešov;2;1;288;704;140;108;39;20;Benešov
CZ0201;2125;Děkanovice;532746;obec;Vlašim;1;1;408;61;12;14;1;0;Vlašim
CZ0201;2101;Divišov;529621;městys;Benešov;8;6;3 099;1 738;356;324;43;20;Divišov
CZ0201;2125;Dolní Kralovice;529648;obec;Vlašim;6;5;1 722;886;129;192;8;10;Dolní Kralovice
CZ0201;2101;Drahňovice;532151;obec;Benešov;1;1;817;98;26;15;5;2;Divišov
CZ0201;2125;Dunice;532843;obec;Vlašim;1;1;358;64;11;19;2;0;Vlašim
CZ0201;2126;Heřmaničky;529702;obec;Votice;13;3;1 740;742;142;172;13;11;Votice
